order_id,property_id,property_city,property_state,product_id,product_category,product_name,quantity,product_price,order_total
1,17,Las Vegas,Nevada,41,Furnishings,Office Chair,1,85,85
2,15,Chicago,Illinois,54,Furnishings,Chest of Drawers,2,150,300
3,5,Kansas City,Missouri,71,Maintenance,Hammer,2,17,34
4,19,Los Angeles,California,3,Housekeeping,Washcloth,2,3,6
5,12,Dallas,Texas,45,Furnishings,Computer Desk,3,102,306
6,6,Orlando,Florida,94,Public Areas,Monitor,2,70,140
7,5,Kansas City,Missouri,35,Furnishings,Tissue Box,2,25,50
8,16,Denver,Colorado,93,Public Areas,Terminal,1,85,85
9,4,Seattle,Washington,93,Public Areas,Terminal,3,85,255
10,2,Cincinnati,Ohio,61,Maintenance,Tape Measure,2,8,16
11,2,Cincinnati,Ohio,24,Office Supplies,Envelopes (Letter),1,24,24
12,8,Philadelphia,Pennsylvania,23,Office Supplies,Printer Toner,1,85,85
13,12,Dallas,Texas,24,Office Supplies,Envelopes (Letter),2,24,48
14,4,Seattle,Washington,94,Public Areas,Monitor,3,70,210
15,16,Denver,Colorado,20,Office Supplies,Pens,2,30,60
16,2,Cincinnati,Ohio,94,Public Areas,Monitor,3,70,210
17,19,Los Angeles,California,84,Public Areas,Tall Chair,1,75,75
18,9,Richmond,Virginia,89,Public Areas,Photograph,2,45,90
19,20,San Francisco,California,21,Office Supplies,Printer Paper,3,50,150
20,1,New York,New York,6,Housekeeping,Conditioner,1,40,40
21,8,Philadelphia,Pennsylvania,57,Furnishings,Wireless Router,3,70,210
22,4,Seattle,Washington,70,Maintenance,Door Lock,2,117,234
23,17,Las Vegas,Nevada,24,Office Supplies,Envelopes (Letter),1,24,24
24,14,Nashville,Tennessee,23,Office Supplies,Printer Toner,2,85,170
25,12,Dallas,Texas,52,Furnishings,Ironing Board,1,18,18
26,17,Las Vegas,Nevada,84,Public Areas,Tall Chair,2,75,150
27,10,Arlington,Virginia,74,Public Areas,Large Plant,1,35,35
28,10,Arlington,Virginia,33,Furnishings,Towel Rack,3,10,30
29,5,Kansas City,Missouri,73,Maintenance,Mop,2,15,30
30,2,Cincinnati,Ohio,5,Housekeeping,Moisturizer,1,40,40
31,11,Atlanta,Georgia,79,Public Areas,Coffee Table,2,103,206
32,20,San Francisco,California,44,Furnishings,Floor Lamp,1,55,55
33,9,Richmond,Virginia,64,Maintenance,Gaffer's Tape,1,27,27
34,18,Phoenix,Arizona,10,Housekeeping,Toilet Paper,2,19,38
35,1,New York,New York,87,Public Areas,End Table,1,30,30
36,2,Cincinnati,Ohio,37,Furnishings,Bed (King),2,300,600
37,3,Portland,Oregon,23,Office Supplies,Printer Toner,3,85,255
38,8,Philadelphia,Pennsylvania,37,Furnishings,Bed (King),3,300,900
39,10,Arlington,Virginia,30,Office Supplies,Permanent Markers,3,6,18
40,19,Los Angeles,California,83,Public Areas,Bar Stool,2,60,120
41,13,New Orleans,Louisiana,19,Housekeeping,Light Bulb,2,17,34
42,10,Arlington,Virginia,27,Office Supplies,Invisible Tape,2,8,16
43,5,Kansas City,Missouri,87,Public Areas,End Table,3,30,90
44,1,New York,New York,19,Housekeeping,Light Bulb,2,17,34
45,9,Richmond,Virginia,23,Office Supplies,Printer Toner,2,85,170
46,6,Orlando,Florida,28,Office Supplies,Staples,2,8,16
47,14,Nashville,Tennessee,47,Furnishings,Swivel Chair,3,75,225
48,18,Phoenix,Arizona,58,Furnishings,Mirror,1,85,85
49,15,Chicago,Illinois,13,Housekeeping,Bed Sheet (Double),3,20,60
50,19,Los Angeles,California,91,Public Areas,Small Sign,2,14,28
51,5,Kansas City,Missouri,67,Maintenance,Adjustable Wrench,2,10,20
52,10,Arlington,Virginia,25,Office Supplies,Envelopes (Legal),3,28,84
53,8,Philadelphia,Pennsylvania,51,Furnishings,Painting,3,85,255
54,5,Kansas City,Missouri,24,Office Supplies,Envelopes (Letter),2,24,48
55,14,Nashville,Tennessee,8,Housekeeping,Bath Soap,3,35,105
56,16,Denver,Colorado,70,Maintenance,Door Lock,3,117,351
57,19,Los Angeles,California,41,Furnishings,Office Chair,2,85,170
58,19,Los Angeles,California,42,Furnishings,Reading Chair,1,70,70
